mode,layer,offset_k,successes,trials,percent_true
freeze,0,-7,7,10,0.7
freeze,0,-6,7,10,0.7
freeze,0,-5,7,10,0.7
freeze,0,-4,7,10,0.7
freeze,0,-3,7,10,0.7
freeze,0,-2,7,10,0.7
freeze,0,-1,7,10,0.7
freeze,0,0,6,10,0.6
freeze,0,1,7,10,0.7
freeze,0,2,7,10,0.7
freeze,0,3,7,10,0.7
freeze,0,4,5,10,0.5
freeze,0,5,7,10,0.7
freeze,0,6,7,10,0.7
freeze,0,7,7,10,0.7
freeze,1,-7,7,10,0.7
freeze,1,-6,6,10,0.6
freeze,1,-5,7,10,0.7
freeze,1,-4,7,10,0.7
freeze,1,-3,7,10,0.7
freeze,1,-2,7,10,0.7
freeze,1,-1,7,10,0.7
freeze,1,0,6,10,0.6
freeze,1,1,8,10,0.8
freeze,1,2,7,10,0.7
freeze,1,3,7,10,0.7
freeze,1,4,7,10,0.7
freeze,1,5,8,10,0.8
freeze,1,6,8,10,0.8
freeze,1,7,8,10,0.8
freeze,2,-7,7,10,0.7
freeze,2,-6,7,10,0.7
freeze,2,-5,7,10,0.7
freeze,2,-4,7,10,0.7
freeze,2,-3,7,10,0.7
freeze,2,-2,7,10,0.7
freeze,2,-1,7,10,0.7
freeze,2,0,6,10,0.6
freeze,2,1,7,10,0.7
freeze,2,2,7,10,0.7
freeze,2,3,8,10,0.8
freeze,2,4,6,10,0.6
freeze,2,5,7,10,0.7
freeze,2,6,6,10,0.6
freeze,2,7,7,10,0.7
freeze,3,-7,7,10,0.7
freeze,3,-6,7,10,0.7
freeze,3,-5,7,10,0.7
freeze,3,-4,7,10,0.7
freeze,3,-3,7,10,0.7
freeze,3,-2,7,10,0.7
freeze,3,-1,7,10,0.7
freeze,3,0,6,10,0.6
freeze,3,1,7,10,0.7
freeze,3,2,8,10,0.8
freeze,3,3,7,10,0.7
freeze,3,4,6,10,0.6
freeze,3,5,7,10,0.7
freeze,3,6,7,10,0.7
freeze,3,7,7,10,0.7
freeze,4,-7,7,10,0.7
freeze,4,-6,7,10,0.7
freeze,4,-5,7,10,0.7
freeze,4,-4,7,10,0.7
freeze,4,-3,6,10,0.6
freeze,4,-2,7,10,0.7
freeze,4,-1,7,10,0.7
freeze,4,0,7,10,0.7
freeze,4,1,8,10,0.8
freeze,4,2,8,10,0.8
freeze,4,3,7,10,0.7
freeze,4,4,6,10,0.6
freeze,4,5,7,10,0.7
freeze,4,6,7,10,0.7
freeze,4,7,7,10,0.7
freeze,5,-7,7,10,0.7
freeze,5,-6,7,10,0.7
freeze,5,-5,7,10,0.7
freeze,5,-4,7,10,0.7
freeze,5,-3,7,10,0.7
freeze,5,-2,7,10,0.7
freeze,5,-1,7,10,0.7
freeze,5,0,6,10,0.6
freeze,5,1,8,10,0.8
freeze,5,2,8,10,0.8
freeze,5,3,7,10,0.7
freeze,5,4,6,10,0.6
freeze,5,5,7,10,0.7
freeze,5,6,6,10,0.6
freeze,5,7,7,10,0.7
freeze,6,-7,7,10,0.7
freeze,6,-6,7,10,0.7
freeze,6,-5,7,10,0.7
freeze,6,-4,7,10,0.7
freeze,6,-3,7,10,0.7
freeze,6,-2,7,10,0.7
freeze,6,-1,7,10,0.7
freeze,6,0,6,10,0.6
freeze,6,1,7,10,0.7
freeze,6,2,8,10,0.8
freeze,6,3,7,10,0.7
freeze,6,4,7,10,0.7
freeze,6,5,8,10,0.8
freeze,6,6,8,10,0.8
freeze,6,7,8,10,0.8
freeze,7,-7,7,10,0.7
freeze,7,-6,7,10,0.7
freeze,7,-5,7,10,0.7
freeze,7,-4,7,10,0.7
freeze,7,-3,7,10,0.7
freeze,7,-2,7,10,0.7
freeze,7,-1,7,10,0.7
freeze,7,0,6,10,0.6
freeze,7,1,6,10,0.6
freeze,7,2,7,10,0.7
freeze,7,3,8,10,0.8
freeze,7,4,7,10,0.7
freeze,7,5,7,10,0.7
