mode,layer,offset_k,successes,trials,percent_true
unroll,0,-7,0,10,0.0
unroll,0,-6,0,10,0.0
unroll,0,-5,0,10,0.0
unroll,0,-4,0,10,0.0
unroll,0,-3,0,10,0.0
unroll,0,-2,0,10,0.0
unroll,0,-1,0,10,0.0
unroll,0,0,0,10,0.0
unroll,1,-7,0,10,0.0
unroll,1,-6,0,10,0.0
unroll,1,-5,0,10,0.0
unroll,1,-4,0,10,0.0
unroll,1,-3,0,10,0.0
unroll,1,-2,0,10,0.0
unroll,1,-1,0,10,0.0
unroll,1,0,0,10,0.0
unroll,2,-7,0,10,0.0
unroll,2,-6,0,10,0.0
unroll,2,-5,0,10,0.0
unroll,2,-4,0,10,0.0
unroll,2,-3,0,10,0.0
unroll,2,-2,0,10,0.0
unroll,2,-1,0,10,0.0
unroll,2,0,0,10,0.0
unroll,3,-7,0,10,0.0
unroll,3,-6,0,10,0.0
unroll,3,-5,0,10,0.0
unroll,3,-4,0,10,0.0
unroll,3,-3,0,10,0.0
unroll,3,-2,0,10,0.0
unroll,3,-1,0,10,0.0
unroll,3,0,0,10,0.0
unroll,4,-7,0,10,0.0
unroll,4,-6,0,10,0.0
unroll,4,-5,0,10,0.0
unroll,4,-4,0,10,0.0
unroll,4,-3,0,10,0.0
unroll,4,-2,0,10,0.0
unroll,4,-1,0,10,0.0
unroll,4,0,0,10,0.0
unroll,5,-7,0,10,0.0
unroll,5,-6,0,10,0.0
unroll,5,-5,0,10,0.0
unroll,5,-4,0,10,0.0
unroll,5,-3,0,10,0.0
unroll,5,-2,0,10,0.0
unroll,5,-1,0,10,0.0
unroll,5,0,0,10,0.0
unroll,6,-7,0,10,0.0
unroll,6,-6,0,10,0.0
unroll,6,-5,0,10,0.0
unroll,6,-4,0,10,0.0
unroll,6,-3,0,10,0.0
unroll,6,-2,0,10,0.0
unroll,6,-1,0,10,0.0
unroll,6,0,0,10,0.0
unroll,7,-7,0,10,0.0
unroll,7,-6,0,10,0.0
unroll,7,-5,0,10,0.0
unroll,7,-4,0,10,0.0
unroll,7,-3,0,10,0.0
unroll,7,-2,0,10,0.0
unroll,7,-1,0,10,0.0
unroll,7,0,0,10,0.0
unroll,8,-7,0,10,0.0
unroll,8,-6,0,10,0.0
unroll,8,-5,0,10,0.0
unroll,8,-4,0,10,0.0
unroll,8,-3,0,10,0.0
unroll,8,-2,0,10,0.0
unroll,8,-1,0,10,0.0
unroll,8,0,0,10,0.0
unroll,9,-7,0,10,0.0
unroll,9,-6,0,10,0.0
unroll,9,-5,0,10,0.0
unroll,9,-4,0,10,0.0
unroll,9,-3,0,10,0.0
unroll,9,-2,0,10,0.0
unroll,9,-1,0,10,0.0
unroll,9,0,0,10,0.0
unroll,10,-7,0,10,0.0
unroll,10,-6,0,10,0.0
unroll,10,-5,0,10,0.0
unroll,10,-4,0,10,0.0
unroll,10,-3,0,10,0.0
unroll,10,-2,0,10,0.0
unroll,10,-1,0,10,0.0
unroll,10,0,0,10,0.0
unroll,11,-7,0,10,0.0
unroll,11,-6,0,10,0.0
unroll,11,-5,0,10,0.0
unroll,11,-4,0,10,0.0
unroll,11,-3,0,10,0.0
unroll,11,-2,0,10,0.0
unroll,11,-1,0,10,0.0
unroll,11,0,0,10,0.0
unroll,12,-7,0,10,0.0
unroll,12,-6,0,10,0.0
unroll,12,-5,0,10,0.0
unroll,12,-4,0,10,0.0
unroll,12,-3,0,10,0.0
unroll,12,-2,0,10,0.0
unroll,12,-1,0,10,0.0
unroll,12,0,0,10,0.0
unroll,13,-7,0,10,0.0
unroll,13,-6,0,10,0.0
unroll,13,-5,0,10,0.0
unroll,13,-4,0,10,0.0
unroll,13,-3,0,10,0.0
unroll,13,-2,0,10,0.0
unroll,13,-1,0,10,0.0
unroll,13,0,0,10,0.0
unroll,14,-7,0,10,0.0
unroll,14,-6,0,10,0.0
unroll,14,-5,0,10,0.0
unroll,14,-4,0,10,0.0
unroll,14,-3,0,10,0.0
unroll,14,-2,0,10,0.0
unroll,14,-1,0,10,0.0
unroll,14,0,0,10,0.0
unroll,15,-7,0,10,0.0
unroll,15,-6,0,10,0.0
unroll,15,-5,0,10,0.0
unroll,15,-4,0,10,0.0
unroll,15,-3,0,10,0.0
unroll,15,-2,0,10,0.0
unroll,15,-1,0,10,0.0
unroll,15,0,0,10,0.0
unroll,16,-7,0,10,0.0
unroll,16,-6,0,10,0.0
unroll,16,-5,0,10,0.0
unroll,16,-4,0,10,0.0
unroll,16,-3,0,10,0.0
unroll,16,-2,0,10,0.0
unroll,16,-1,0,10,0.0
unroll,16,0,0,10,0.0
unroll,17,-7,0,10,0.0
unroll,17,-6,0,10,0.0
unroll,17,-5,0,10,0.0
unroll,17,-4,0,10,0.0
unroll,17,-3,0,10,0.0
unroll,17,-2,0,10,0.0
unroll,17,-1,0,10,0.0
unroll,17,0,0,10,0.0
unroll,18,-7,0,10,0.0
unroll,18,-6,0,10,0.0
unroll,18,-5,0,10,0.0
unroll,18,-4,0,10,0.0
unroll,18,-3,0,10,0.0
unroll,18,-2,0,10,0.0
unroll,18,-1,0,10,0.0
unroll,18,0,0,10,0.0
unroll,19,-7,0,10,0.0
unroll,19,-6,0,10,0.0
unroll,19,-5,0,10,0.0
unroll,19,-4,0,10,0.0
unroll,19,-3,0,10,0.0
unroll,19,-2,0,10,0.0
unroll,19,-1,0,10,0.0
unroll,19,0,0,10,0.0
unroll,20,-7,0,10,0.0
unroll,20,-6,0,10,0.0
unroll,20,-5,0,10,0.0
unroll,20,-4,0,10,0.0
unroll,20,-3,0,10,0.0
unroll,20,-2,0,10,0.0
unroll,20,-1,0,10,0.0
unroll,20,0,0,10,0.0
unroll,21,-7,0,10,0.0
unroll,21,-6,0,10,0.0
unroll,21,-5,0,10,0.0
unroll,21,-4,0,10,0.0
unroll,21,-3,0,10,0.0
unroll,21,-2,0,10,0.0
unroll,21,-1,0,10,0.0
unroll,21,0,0,10,0.0
unroll,22,-7,0,10,0.0
unroll,22,-6,0,10,0.0
unroll,22,-5,0,10,0.0
unroll,22,-4,0,10,0.0
unroll,22,-3,0,10,0.0
unroll,22,-2,0,10,0.0
unroll,22,-1,0,10,0.0
unroll,22,0,0,10,0.0
unroll,23,-7,0,10,0.0
unroll,23,-6,0,10,0.0
unroll,23,-5,0,10,0.0
unroll,23,-4,0,10,0.0
unroll,23,-3,0,10,0.0
unroll,23,-2,0,10,0.0
unroll,23,-1,0,10,0.0
unroll,23,0,0,10,0.0
